wavelength_nm,frequency_hz,s_21_mag,s_21_phase_rad,s_31_mag,s_31_phase_rad
1565.0000,1.915607e+14,0.699013,0.000000,0.699013,1.570796
1563.2500,1.917751e+14,0.699013,0.000000,0.699013,1.570796
1561.5000,1.919900e+14,0.699013,0.000000,0.699013,1.570796
1559.7500,1.922055e+14,0.699013,0.000000,0.699013,1.570796
1558.0000,1.924213e+14,0.699013,0.000000,0.699013,1.570796
1556.2500,1.926377e+14,0.699013,0.000000,0.699013,1.570796
1554.5000,1.928546e+14,0.699013,0.000000,0.699013,1.570796
1552.7500,1.930719e+14,0.699013,0.000000,0.699013,1.570796
1551.0000,1.932898e+14,0.699013,0.000000,0.699013,1.570796
1549.2500,1.935081e+14,0.699013,0.000000,0.699013,1.570796
1547.5000,1.937270e+14,0.699013,0.000000,0.699013,1.570796
1545.7500,1.939463e+14,0.699013,0.000000,0.699013,1.570796
1544.0000,1.941661e+14,0.699013,0.000000,0.699013,1.570796
1542.2500,1.943864e+14,0.699013,0.000000,0.699013,1.570796
1540.5000,1.946072e+14,0.699013,0.000000,0.699013,1.570796
1538.7500,1.948286e+14,0.699013,0.000000,0.699013,1.570796
1537.0000,1.950504e+14,0.699013,0.000000,0.699013,1.570796
1535.2500,1.952727e+14,0.699013,0.000000,0.699013,1.570796
1533.5000,1.954956e+14,0.699013,0.000000,0.699013,1.570796
1531.7500,1.957189e+14,0.699013,0.000000,0.699013,1.570796
1530.0000,1.959428e+14,0.699013,0.000000,0.699013,1.570796
