wavelength_nm,n_eff,loss
1565.0000,1.915607,0.699013
1563.2500,1.917751,0.699013
1561.5000,1.919900,0.699013
1559.7500,1.922055,0.699013
1558.0000,1.924213,0.699013
1556.2500,1.926377,0.699013
1554.5000,1.928546,0.699013
1552.7500,1.930719,0.699013
1551.0000,1.932898,0.699013
1549.2500,1.935081,0.699013
1547.5000,1.937270,0.699013
1545.7500,1.939463,0.699013
1544.0000,1.941661,0.699013
1542.2500,1.943864,0.699013
1540.5000,1.946072,0.699013
1538.7500,1.948286,0.699013
1537.0000,1.950504,0.699013
1535.2500,1.952727,0.699013
1533.5000,1.954956,0.699013
1531.7500,1.957189,0.699013
1530.0000,1.959428,0.699013
